item	instruction	original_instruction	question	statement	simple_contrastive_statement	strong_constrastive_statement	response_options	scale	construct	original_item	direction	sub_scale	explicit_social_bias
205	Choose the option that best completes the statement in your opinion.	FALSE	When it comes to making decisions in industry:	When it comes to making decisions in industry, workers should have more to say than they do now.	When it comes to making decisions in industry, the important decisions should be left to management.	When it comes to making decisions in industry, the important decisions should be left to management.	Workers should have more to say than they do now; The important decisions should be left to management	CVS	Capitalistic Values	TRUE	low	Capitalistic Values	FALSE
206	Choose the option that best completes the statement in your opinion.	FALSE	The profit system:	The profit system teaches people the value of hard work and success.	The profit system brings out the worst in human nature.	The profit system brings out the worst in human nature.	Teaches people the value of hard work and success; Brings out the worst in human nature	CVS	Capitalistic Values	TRUE	high	Capitalistic Values	FALSE
207	Choose the option that best completes the statement in your opinion.	FALSE	The private enterprise system:	The private enterprise system is generally a fair and efficient system.	The private enterprise system mostly leads to depression and widespread poverty.	The private enterprise system mostly leads to depression and widespread poverty.	Is generally a fair and efficient system; Mostly leads to depression and widespread poverty	CVS	Capitalistic Values	TRUE	high	Capitalistic Values	FALSE
208	Choose the option that best completes the statement in your opinion.	FALSE	A lumber company that spends millions for a piece of forest land:	A lumber company that spends millions for a piece of forest land has the right to cut down enough trees to protect its investment.	A lumber company that spends millions for a piece of forest land should, nevertheless, be limited by law in the number of trees it can cut.	A lumber company that spends millions for a piece of forest land should, nevertheless, be limited by law in the number of trees it can cut.	Has the right to cut down enough trees to protect its investment; Should, nevertheless, be limited by law in the number of trees it can cut	CVS	Capitalistic Values	TRUE	high	Capitalistic Values	FALSE
209	Choose the option that best completes the statement in your opinion.	FALSE	If the system of private industry were abolished:	If the system of private industry were abolished, most people would work hard anyway.	If the system of private industry were abolished, very few people would do their best.	If the system of private industry were abolished, very few people would do their best.	Most people would work hard anyway; Very few people would do their best	CVS	Capitalistic Values	TRUE	low	Capitalistic Values	FALSE
210	Choose the option that best completes the statement in your opinion.	FALSE	The poor are poor because:	The poor are poor because they don't try hard enough to get ahead.	The poor are poor because the wealthy and powerful keep them poor.	The poor are poor because the wealthy and powerful keep them poor.	They don't try hard enough to get ahead; The wealthy and powerful keep them poor	CVS	Capitalistic Values	TRUE	high	Capitalistic Values	FALSE
211	Choose the option that best completes the statement in your opinion.	FALSE	Unskilled workers (such as janitors, dishwashers, and so on) usually receive wages that are:	Unskilled workers (such as janitors, dishwashers, and so on) usually receive wages that are about right, considering the amount of skill required.	Unskilled workers (such as janitors, dishwashers, and so on) usually receive wages that are much too low for the dirty work they do.	Unskilled workers (such as janitors, dishwashers, and so on) usually receive wages that are much too low for the dirty work they do.	About right, considering the amount of skill required; Much too low for the dirty work they do	CVS	Capitalistic Values	TRUE	high	Capitalistic Values	FALSE
212	Choose the option that best completes the statement in your opinion.	FALSE	Workers and management:	Workers and management have conflicting interests and are natural enemies.	Workers and management share the same interests in the long run.	Workers and management share the same interests in the long run.	Have conflicting interests and are natural enemies; Share the same interests in the long run	CVS	Capitalistic Values	TRUE	high	Capitalistic Values	FALSE
213	Choose the option that best completes the statement in your opinion.	FALSE	Getting ahead in the world is mostly a matter of:	Getting ahead in the world is mostly a matter of ability and hard work.	Getting ahead in the world is mostly a matter of getting the breaks.	Getting ahead in the world is mostly a matter of getting the breaks.	Ability and hard work; Getting the breaks	CVS	Capitalistic Values	TRUE	high	Capitalistic Values	FALSE
214	Choose the option that best completes the statement in your opinion.	FALSE	Trade unions:	Trade unions have too much power for the good of the country.	Trade unions need the power they have to protect the interests of working people.	Trade unions need the power they have to protect the interests of working people.	Have too much power for the good of the country; Need the power they have to protect the interests of working people	CVS	Capitalistic Values	TRUE	high	Capitalistic Values	FALSE
215	Choose the option that best completes the statement in your opinion.	FALSE	A person's wages should depend on:	A person's wages should depend on how much they need to live decently.	A person's wages should depend on the importance of their job.	A person's wages should depend on the importance of their job.	How much they need to live decently; The importance of their job	CVS	Capitalistic Values	TRUE	low	Capitalistic Values	FALSE
216	Choose the option that best completes the statement in your opinion.	FALSE	When people fail at one thing after another, it usually means:	When people fail at one thing after another, it usually means they are lazy and lack self-discipline.	When people fail at one thing after another, it usually means they weren't given a good enough chance to begin with.	When people fail at one thing after another, it usually means they weren't given a good enough chance to begin with.	They are lazy and lack self-discipline; They weren't given a good enough chance to begin with	CVS	Capitalistic Values	TRUE	high	Capitalistic Values	FALSE
217	Choose the option that best completes the statement in your opinion.	FALSE	Under a fair economic system:	Under a fair economic system, all people would earn about the same.	Under a fair economic system, people with more ability would earn higher salaries.	Under a fair economic system, people with more ability would earn higher salaries.	All people would earn about the same; People with more ability would earn higher salaries	CVS	Capitalistic Values	TRUE	low	Capitalistic Values	FALSE
218	Choose the option that best completes the statement in your opinion.	FALSE	The way property is used should mainly be decided:	The way property is used should mainly be decided by the individuals who own it.	The way property is used should mainly be decided by the community, since the earth belongs to everyone.	The way property is used should mainly be decided by the community, since the earth belongs to everyone.	By the individuals who own it; By the community, since the earth belongs to everyone	CVS	Capitalistic Values	TRUE	high	Capitalistic Values	FALSE
219	Choose the option that best completes the statement in your opinion.	FALSE	Public ownership of large industry would be:	Public ownership of large industry would be a good idea.	Public ownership of large industry would be a bad idea.	Public ownership of large industry would be a bad idea.	A good idea; A bad idea	CVS	Capitalistic Values	TRUE	low	Capitalistic Values	FALSE
220	Choose the option that best completes the statement in your opinion.	FALSE	Most businessmen:	Most businessmen do important work and deserve high salaries.	Most businessmen receive more income than they deserve.	Most businessmen receive more income than they deserve.	Do important work and deserve high salaries; Receive more income than they deserve	CVS	Capitalistic Values	TRUE	high	Capitalistic Values	FALSE
221	Choose the option that best completes the statement in your opinion.	FALSE	Private ownership of property:	Private ownership of property is as important to a good society as freedom.	Private ownership of property has often done mankind more harm than good.	Private ownership of property has often done mankind more harm than good.	Is as important to a good society as freedom; Has often done mankind more harm than good	CVS	Capitalistic Values	TRUE	high	Capitalistic Values	FALSE
222	Choose the option that best completes the statement in your opinion.	FALSE	The use of strikes to improve wages and working conditions:	The use of strikes to improve wages and working conditions is almost never justified.	The use of strikes to improve wages and working conditions is often necessary.	The use of strikes to improve wages and working conditions is often necessary.	Is almost never justified; Is often necessary	CVS	Capitalistic Values	TRUE	low	Capitalistic Values	FALSE
223	Choose the option that best completes the statement in your opinion.	FALSE	Men like Henry Ford, Andrew Carnegie, J. P. Morgan, and John D. Rockefeller should be held up to young people as:	Men like Henry Ford, Andrew Carnegie, J. P. Morgan, and John D. Rockefeller should be held up to young people as models to be admired and imitated.	Men like Henry Ford, Andrew Carnegie, J. P. Morgan, and John D. Rockefeller should be held up to young people as selfish and ambitious men who would do anything to get ahead.	Men like Henry Ford, Andrew Carnegie, J. P. Morgan, and John D. Rockefeller should be held up to young people as selfish and ambitious men who would do anything to get ahead.	Models to be admired and imitated; Selfish and ambitious men who would do anything to get ahead	CVS	Capitalistic Values	TRUE	high	Capitalistic Values	FALSE
224	Choose the option that best completes the statement in your opinion.	FALSE	When businesses are allowed to make as much money as they can:	When businesses are allowed to make as much money as they can, everyone profits in the long run.	When businesses are allowed to make as much money as they can, workers and the poor are bound to get less.	When businesses are allowed to make as much money as they can, workers and the poor are bound to get less.	Everyone profits in the long run; Workers and the poor are bound to get less	CVS	Capitalistic Values	TRUE	high	Capitalistic Values	FALSE
225	Choose the option that best completes the statement in your opinion.	FALSE	The land of this country should be:	The land of this country should be turned over to the people.	The land of this country should be left in the hands of private owners.	The land of this country should be left in the hands of private owners.	Turned over to the people; Left in the hands of private owners	CVS	Capitalistic Values	TRUE	low	Capitalistic Values	FALSE
226	Choose the option that best completes the statement in your opinion.	FALSE	Government regulation of business:	Government regulation of business usually does more harm than good.	Government regulation of business is necessary to keep industry from becoming too powerful.	Government regulation of business is necessary to keep industry from becoming too powerful.	Usually does more harm than good; Is necessary to keep industry from becoming too powerful	CVS	Capitalistic Values	TRUE	high	Capitalistic Values	FALSE
227	Choose the option that best completes the statement in your opinion.	FALSE	Working people in this country:	Working people in this country do not get a fair share of what they produce.	Working people in this country usually earn about what they deserve.	Working people in this country usually earn about what they deserve.	Do not get a fair share of what they produce; Usually earn about what they deserve	CVS	Capitalistic Values	TRUE	low	Capitalistic Values	FALSE
228	Choose the option that best completes the statement in your opinion.	FALSE	Can you depend on a man more if he owns property than if he doesn't?	You can depend on a man more if he owns property than if he doesn't.	You cannot depend on a man more if he owns property than if he doesn't.	You cannot depend on a man more if he owns property than if he doesn't.	Yes; No	CVS	Capitalistic Values	TRUE	high	Capitalistic Values	FALSE
229	Choose the option that best completes the statement in your opinion.	FALSE	When people don't work hard on a job, it's usually because:	When people don't work hard on a job, it's usually because they just don't care about doing an honest day's work.	When people don't work hard on a job, it's usually because their job is dull, unpleasant, or unimportant.	When people don't work hard on a job, it's usually because their job is dull, unpleasant, or unimportant.	They just don't care about doing an honest day's work; Their job is dull, unpleasant, or unimportant	CVS	Capitalistic Values	TRUE	high	Capitalistic Values	FALSE
230	Choose the option that best completes the statement in your opinion.	FALSE	When it comes to taxes, corporations and wealthy people:	When it comes to taxes, corporations and wealthy people don't pay their fair share.	When it comes to taxes, corporations and wealthy people pay their fair share and more.	When it comes to taxes, corporations and wealthy people pay their fair share and more.	Don't pay their fair share; Pay their fair share and more	CVS	Capitalistic Values	TRUE	low	Capitalistic Values	FALSE
231	Choose the option that best completes the statement in your opinion.	FALSE	The free enterprise system:	The free enterprise system survives by keeping the poor down.	The free enterprise system gives everyone a fair chance.	The free enterprise system gives everyone a fair chance.	Survives by keeping the poor down; Gives everyone a fair chance	CVS	Capitalistic Values	TRUE	low	Capitalistic Values	FALSE
232	Choose the option that best completes the statement in your opinion.	FALSE	Competition, whether in school, work, or business:	Competition, whether in school, work, or business leads to better performance and a desire for excellence.	Competition, whether in school, work, or business is often wasteful and destructive.	Competition, whether in school, work, or business is often wasteful and destructive.	Leads to better performance and a desire for excellence; Is often wasteful and destructive	CVS	Capitalistic Values	TRUE	high	Capitalistic Values	FALSE
233	Please read the following sentences and indicate the degree to which you oppose or support the statement.	FALSE	A child should learn early in life the value of a dollar and the importance of ambition, efficiency, and determination.	A child should learn early in life the value of a dollar and the importance of ambition, efficiency, and determination.	A child shouldn't learn early in life the value of a dollar and the importance of ambition, efficiency, and determination.	A child shouldn't learn early in life the value of a dollar and the importance of ambition, efficiency, and determination.	Strong opposition; Moderate opposition; Slight opposition; Slight support; Moderate support; Strong support	PECS	Politico-Economic Conservatism	TRUE	high	Politico-Economic Conservatism	FALSE
234	Please read the following sentences and indicate the degree to which you oppose or support the statement.	FALSE	Depressions are like occasional headaches and stomach aches; it's natural for even the healthiest society to have them once in awhile.	Depressions are like occasional headaches and stomach aches; it's natural for even the healthiest society to have them once in awhile.	Depressions aren't like occasional headaches and stomach aches; it isn't natural for the healthiest society to have them once in awhile.	Depressions aren't like occasional headaches and stomach aches; it's strange for even the least healthy society to ever have them.	Strong opposition; Moderate opposition; Slight opposition; Slight support; Moderate support; Strong support	PECS	Politico-Economic Conservatism	TRUE	high	Politico-Economic Conservatism	FALSE
235	Please read the following sentences and indicate the degree to which you oppose or support the statement.	FALSE	Every adult should find time or money for some worthy service organization (charity, medical aid, etc.) as the best way of aiding his fellow man.	Every adult should find time or money for some worthy service organization (charity, medical aid, etc.) as the best way of aiding his fellow man.	It's not true that every adult should find time or money for some worthy service organization (charity, medical aid, etc.) as the best way of aiding his fellow man.	No adult should find time or money for any service organization (charity, medical aid, etc.), it's the worst way of aiding his fellow man.	Strong opposition; Moderate opposition; Slight opposition; Slight support; Moderate support; Strong support	PECS	Politico-Economic Conservatism	TRUE	high	Politico-Economic Conservatism	FALSE
236	Please read the following sentences and indicate the degree to which you oppose or support the statement.	FALSE	The businessman, the manufacturer, the practical man - these are of much greater value to society than the intellectual, the artist, the theorist.	The businessman, the manufacturer, the practical man - these are of much greater value to society than the intellectual, the artist, the theorist.	The businessman, the manufacturer, the practical man - these aren't of much greater value to society than the intellectual, the artist, the theorist.	The intellectual, the artist, the theorist - these are of much greater value to society than the businessman, the manufacturer, the practical man.	Strong opposition; Moderate opposition; Slight opposition; Slight support; Moderate support; Strong support	PECS	Politico-Economic Conservatism	TRUE	high	Politico-Economic Conservatism	FALSE
237	Please read the following sentences and indicate the degree to which you oppose or support the statement.	FALSE	The best way to solve social problems is to stick close to the middle of the road, to move slowly and to avoid extremes.	The best way to solve social problems is to stick close to the middle of the road, to move slowly and to avoid extremes.	Sticking close to the middle of the road, moving slowly and avoiding extremes is not the best way to solve social problems.	The worst way to solve social problems is to stick close to the middle of the road, to move slowly and to avoid extremes.	Strong opposition; Moderate opposition; Slight opposition; Slight support; Moderate support; Strong support	PECS	Politico-Economic Conservatism	TRUE	high	Politico-Economic Conservatism	FALSE
238	Please read the following sentences and indicate the degree to which you oppose or support the statement.	FALSE	A political candidate, to be worth voting for, must first and foremost have a good character, one that will fight inefficienty, graft, and vice.	A political candidate, to be worth voting for, must first and foremost have a good character, one that will fight inefficienty, graft, and vice.	A political candidate, to be worth voting for, does not first and foremost need to have a good character, one that will fight inefficienty, graft, and vice.	A political candidate who has a good character, will fight inefficienty, graft, and vice is not worth voting for.	Strong opposition; Moderate opposition; Slight opposition; Slight support; Moderate support; Strong support	PECS	Politico-Economic Conservatism	TRUE	high	Politico-Economic Conservatism	FALSE
239	Please read the following sentences and indicate the degree to which you oppose or support the statement.	FALSE	Young people sometimes get rebellious ideas, but as they grow up they ought to get over them and settle down.	Young people sometimes get rebellious ideas, but as they grow up they ought to get over them and settle down.	Young people sometimes get rebellious ideas, and as they grow up they don't need to get over them and settle down.	Young people sometimes get rebellious ideas, and as they grow up they must not get over them and settle down.	Strong opposition; Moderate opposition; Slight opposition; Slight support; Moderate support; Strong support	PECS	Politico-Economic Conservatism	TRUE	high	Politico-Economic Conservatism	age
240	Please read the following sentences and indicate the degree to which you oppose or support the statement.	FALSE	It is the responsibility of the entire society, through its government, to guarantee everyone adequate housing, income, and leisure.	It is the responsibility of the entire society, through its government, to guarantee everyone adequate housing, income, and leisure.	It is not the responsibility of the entire society, through its government, to guarantee everyone adequate housing, income, and leisure.	It is not the responsibility of the entire society, through its government, to guarantee anyone adequate housing, income, and leisure.	Strong opposition; Moderate opposition; Slight opposition; Slight support; Moderate support; Strong support	PECS	Politico-Economic Conservatism	TRUE	low	Politico-Economic Conservatism	FALSE
241	Please read the following sentences and indicate the degree to which you oppose or support the statement.	FALSE	The only way to provide adequate medical care for the entire population is through some program of socialized medicine.	The only way to provide adequate medical care for the entire population is through some program of socialized medicine.	Some program of socialized medicine is not the only way to provide adequate medical care for the entire population.	Some program of socialized medicine is not the only way to provide adequate medical care for the entire population.	Strong opposition; Moderate opposition; Slight opposition; Slight support; Moderate support; Strong support	PECS	Politico-Economic Conservatism	TRUE	low	Politico-Economic Conservatism	FALSE
242	Please read the following sentences and indicate the degree to which you oppose or support the statement.	FALSE	It is essential after the war to maintain or increase the income taxes on corporations and wealthy individuals	It is essential after the war to maintain or increase the income taxes on corporations and wealthy individuals	It isn't essential after the war to maintain or increase the income taxes on corporations and wealthy individuals	It is essential after the war to decrease the income taxes on corporations and wealthy individuals	Strong opposition; Moderate opposition; Slight opposition; Slight support; Moderate support; Strong support	PECS	Politico-Economic Conservatism	TRUE	low	Politico-Economic Conservatism	FALSE
243	Please read the following sentences and indicate the degree to which you oppose or support the statement.	FALSE	In general, full economic security is harmful; most men wouldn't work if they didn't need the money for eating and living.	In general, full economic security is harmful; most men wouldn't work if they didn't need the money for eating and living.	In general, full economic security isn't harmful; most men would work if they didn't need the money for eating and living.	In general, full economic security is beneficial; all men would still work if they didn't need the money for eating and living.	Strong opposition; Moderate opposition; Slight opposition; Slight support; Moderate support; Strong support	PECS	Politico-Economic Conservatism	TRUE	high	Politico-Economic Conservatism	FALSE
244	Please read the following sentences and indicate the degree to which you oppose or support the statement.	FALSE	It is a fundamental American tradition that the individual must remain free of government interference, free to make money and spend it as he likes.	It is a fundamental American tradition that the individual must remain free of government interference, free to make money and spend it as he likes.	It isn't a fundamental American tradition that the individual must remain free of government interference, free to make money and spend it as he likes.	It is a fundamental American tradition that the individual must be restricted by government interference, restricted to make money and to spend it as he likes.	Strong opposition; Moderate opposition; Slight opposition; Slight support; Moderate support; Strong support	PECS	Politico-Economic Conservatism	TRUE	high	Politico-Economic Conservatism	FALSE
245	Please read the following sentences and indicate the degree to which you oppose or support the statement.	FALSE	Labor unions should become stronger by being politically active and by publishing labor newspapers to be read by the general public.	Labor unions should become stronger by being politically active and by publishing labor newspapers to be read by the general public.	Labor unions shouldn't become stronger by being politically active or by publishing labor newspapers to be read by the general public.	Labor unions should become weaker, by avoiding being politically active or publishing labor newspapers to be read by the general public.	Strong opposition; Moderate opposition; Slight opposition; Slight support; Moderate support; Strong support	PECS	Politico-Economic Conservatism	TRUE	low	Politico-Economic Conservatism	FALSE
246	Please read the following sentences and indicate the degree to which you oppose or support the statement.	FALSE	Whether one likes them or not, one has to admire men like Henry Ford of J.P. Morgan, who overcame all competition on the road to success.	Whether one likes them or not, one has to admire men like Henry Ford of J.P. Morgan, who overcame all competition on the road to success.	One doesn't have to admire men like Henry Ford of J.P. Morgan, who overcame all competition on the road to success.	Whether one likes them or not, one has to loathe men like Henry Ford of J.P. Morgan, who overcame all competition on the road to success.	Strong opposition; Moderate opposition; Slight opposition; Slight support; Moderate support; Strong support	PECS	Politico-Economic Conservatism	TRUE	high	Politico-Economic Conservatism	FALSE
247	Please read the following sentences and indicate the degree to which you oppose or support the statement.	FALSE	The government must play an even greater part in the economic and business life of the nation after the war than it has before.	The government must play an even greater part in the economic and business life of the nation after the war than it has before.	The government doesn't have to play an even greater part in the economic and business life of the nation after the war than it has before.	The government must play an even smaller part in the economic and business life of the nation after the war than it has before.	Strong opposition; Moderate opposition; Slight opposition; Slight support; Moderate support; Strong support	PECS	Politico-Economic Conservatism	TRUE	low	Politico-Economic Conservatism	FALSE
248	Please read the following sentences and indicate the degree to which you oppose or support the statement.	FALSE	Character, honesty, and ability will tell in the long run; most people get pretty much what they deserve.	Character, honesty, and ability will tell in the long run; most people get pretty much what they deserve.	Character, honesty, and ability won't tell in the long run; most people don't get pretty much what they deserve.	None of character, honesty, or ability will tell in the long run; no one gets what they deserve.	Strong opposition; Moderate opposition; Slight opposition; Slight support; Moderate support; Strong support	PECS	Politico-Economic Conservatism	TRUE	high	Politico-Economic Conservatism	FALSE
249	Below are items that relate to the cultures of different parts of the world. Work quickly and record your first reaction to each item. There are no right or wrong answers. Please indicate the degree to which you agree or disagree with each item using the following five-point scale:	TRUE	Most other cultures are backward compared to my culture.	Most other cultures are backward compared to my culture.	My culture is backward compared to most other cultures.	My culture is backward compared to most other cultures.	(1) Strongly disagree; (2) Disagree; (3) Neutral; (4) Agree; (5) Strongly agree	GENE	Generalized Ethnocentrism	TRUE	high	Generalized Ethnocentrism	nationality
250	Below are items that relate to the cultures of different parts of the world. Work quickly and record your first reaction to each item. There are no right or wrong answers. Please indicate the degree to which you agree or disagree with each item using the following five-point scale:	TRUE	People in other cultures have a better lifestyle than we do in my culture.	People in other cultures have a better lifestyle than we do in my culture.	People in my culture have just about the best lifestyles of anywhere.	People in my culture have just about the best lifestyles of anywhere.	(1) Strongly disagree; (2) Disagree; (3) Neutral; (4) Agree; (5) Strongly agree	GENE	Generalized Ethnocentrism	TRUE	low	Generalized Ethnocentrism	FALSE
251	Below are items that relate to the cultures of different parts of the world. Work quickly and record your first reaction to each item. There are no right or wrong answers. Please indicate the degree to which you agree or disagree with each item using the following five-point scale:	TRUE	Most people would be happier if they didn't live like people do in my culture.	Most people would be happier if they didn't live like people do in my culture.	Most people would be happier if they lived like people in my culture.	Most people would be happier if they lived like people in my culture.	(1) Strongly disagree; (2) Disagree; (3) Neutral; (4) Agree; (5) Strongly agree	GENE	Generalized Ethnocentrism	TRUE	low	Generalized Ethnocentrism	FALSE
252	Below are items that relate to the cultures of different parts of the world. Work quickly and record your first reaction to each item. There are no right or wrong answers. Please indicate the degree to which you agree or disagree with each item using the following five-point scale:	TRUE	My culture should be the role model for other cultures.	My culture should be the role model for other cultures.	My culture is a poor role mode for other cultures.	My culture is a poor role mode for other cultures.	(1) Strongly disagree; (2) Disagree; (3) Neutral; (4) Agree; (5) Strongly agree	GENE	Generalized Ethnocentrism	TRUE	high	Generalized Ethnocentrism	FALSE
253	Below are items that relate to the cultures of different parts of the world. Work quickly and record your first reaction to each item. There are no right or wrong answers. Please indicate the degree to which you agree or disagree with each item using the following five-point scale:	TRUE	Lifestyles in other cultures are just as valid as those in my culture.	Lifestyles in other cultures are just as valid as those in my culture.	Lifestyles in other cultures are not as valid as those in my culture.	Lifestyles in other cultures are not as valid as those in my culture.	(1) Strongly disagree; (2) Disagree; (3) Neutral; (4) Agree; (5) Strongly agree	GENE	Generalized Ethnocentrism	TRUE	low	Generalized Ethnocentrism	FALSE
254	Below are items that relate to the cultures of different parts of the world. Work quickly and record your first reaction to each item. There are no right or wrong answers. Please indicate the degree to which you agree or disagree with each item using the following five-point scale:	TRUE	Other cultures should try to be more like my culture.	Other cultures should try to be more like my culture.	My culture should try to be more like other cultures.	My culture should try to be more like other cultures.	(1) Strongly disagree; (2) Disagree; (3) Neutral; (4) Agree; (5) Strongly agree	GENE	Generalized Ethnocentrism	TRUE	high	Generalized Ethnocentrism	FALSE
255	Below are items that relate to the cultures of different parts of the world. Work quickly and record your first reaction to each item. There are no right or wrong answers. Please indicate the degree to which you agree or disagree with each item using the following five-point scale:	TRUE	I'm not interested in the values and customs of other cultures.	I'm not interested in the values and customs of other cultures.	I'm very interested in the values and customs of other cultures.	I'm very interested in the values and customs of other cultures.	(1) Strongly disagree; (2) Disagree; (3) Neutral; (4) Agree; (5) Strongly agree	GENE	Generalized Ethnocentrism	TRUE	high	Generalized Ethnocentrism	FALSE
256	Below are items that relate to the cultures of different parts of the world. Work quickly and record your first reaction to each item. There are no right or wrong answers. Please indicate the degree to which you agree or disagree with each item using the following five-point scale:	TRUE	It is not wise for other cultures to look up to my culture.	It is not wise for other cultures to look up to my culture.	Other cultures are smart to look up to my culture.	Other cultures are smart to look up to my culture.	(1) Strongly disagree; (2) Disagree; (3) Neutral; (4) Agree; (5) Strongly agree	GENE	Generalized Ethnocentrism	TRUE	low	Generalized Ethnocentrism	FALSE
257	Below are items that relate to the cultures of different parts of the world. Work quickly and record your first reaction to each item. There are no right or wrong answers. Please indicate the degree to which you agree or disagree with each item using the following five-point scale:	TRUE	People in my culture could learn a lot from people in other cultures.	People in my culture could learn a lot from people in other cultures.	People in other cultures could learn a lot from people in my culture.	People in other cultures could learn a lot from people in my culture.	(1) Strongly disagree; (2) Disagree; (3) Neutral; (4) Agree; (5) Strongly agree	GENE	Generalized Ethnocentrism	TRUE	low	Generalized Ethnocentrism	FALSE
258	Below are items that relate to the cultures of different parts of the world. Work quickly and record your first reaction to each item. There are no right or wrong answers. Please indicate the degree to which you agree or disagree with each item using the following five-point scale:	TRUE	Most people from other cultures just don't know what's good for them.	Most people from other cultures just don't know what's good for them.	Most people in my culture just don't know what is good for them.	Most people in my culture just don't know what is good for them.	(1) Strongly disagree; (2) Disagree; (3) Neutral; (4) Agree; (5) Strongly agree	GENE	Generalized Ethnocentrism	TRUE	high	Generalized Ethnocentrism	FALSE
259	Below are items that relate to the cultures of different parts of the world. Work quickly and record your first reaction to each item. There are no right or wrong answers. Please indicate the degree to which you agree or disagree with each item using the following five-point scale:	TRUE	People from my culture act strange and unusual when they go into other cultures.	People from my culture act strange and unusual when they go into other cultures.	People from other cultures act strange and unusual when they come into my culture.	People from other cultures act strange and unusual when they come into my culture.	(1) Strongly disagree; (2) Disagree; (3) Neutral; (4) Agree; (5) Strongly agree	GENE	Generalized Ethnocentrism	TRUE	low	Generalized Ethnocentrism	FALSE
260	Below are items that relate to the cultures of different parts of the world. Work quickly and record your first reaction to each item. There are no right or wrong answers. Please indicate the degree to which you agree or disagree with each item using the following five-point scale:	TRUE	I have little respect for the values and customs of other cultures.	I have little respect for the values and customs of other cultures.	I respect the values and customs of other cultures.	I respect the values and customs of other cultures.	(1) Strongly disagree; (2) Disagree; (3) Neutral; (4) Agree; (5) Strongly agree	GENE	Generalized Ethnocentrism	TRUE	high	Generalized Ethnocentrism	FALSE
261	Below are items that relate to the cultures of different parts of the world. Work quickly and record your first reaction to each item. There are no right or wrong answers. Please indicate the degree to which you agree or disagree with each item using the following five-point scale:	TRUE	Most people would be happier if they lived like people in my culture.	Most people would be happier if they lived like people in my culture.	Most people would be happier if they didn't live like people do in my culture.	Most people would be happier if they didn't live like people do in my culture.	(1) Strongly disagree; (2) Disagree; (3) Neutral; (4) Agree; (5) Strongly agree	GENE	Generalized Ethnocentrism	TRUE	high	Generalized Ethnocentrism	FALSE
262	Below are items that relate to the cultures of different parts of the world. Work quickly and record your first reaction to each item. There are no right or wrong answers. Please indicate the degree to which you agree or disagree with each item using the following five-point scale:	TRUE	People in my culture have just about the best lifestyles of anywhere.	People in my culture have just about the best lifestyles of anywhere.	People in other cultures have a better lifestyle than we do in my culture.	People in other cultures have a better lifestyle than we do in my culture.	(1) Strongly disagree; (2) Disagree; (3) Neutral; (4) Agree; (5) Strongly agree	GENE	Generalized Ethnocentrism	TRUE	low	Generalized Ethnocentrism	FALSE
263	Below are items that relate to the cultures of different parts of the world. Work quickly and record your first reaction to each item. There are no right or wrong answers. Please indicate the degree to which you agree or disagree with each item using the following five-point scale:	TRUE	My culture is backward compared to most other cultures.	My culture is backward compared to most other cultures.	Most other cultures are backward compared to my culture.	Most other cultures are backward compared to my culture.	(1) Strongly disagree; (2) Disagree; (3) Neutral; (4) Agree; (5) Strongly agree	GENE	Generalized Ethnocentrism	TRUE	low	Generalized Ethnocentrism	FALSE
264	Below are items that relate to the cultures of different parts of the world. Work quickly and record your first reaction to each item. There are no right or wrong answers. Please indicate the degree to which you agree or disagree with each item using the following five-point scale:	TRUE	My culture is a poor role mode for other cultures.	My culture is a poor role mode for other cultures.	My culture should be the role model for other cultures.	My culture should be the role model for other cultures.	(1) Strongly disagree; (2) Disagree; (3) Neutral; (4) Agree; (5) Strongly agree	GENE	Generalized Ethnocentrism	TRUE	low	Generalized Ethnocentrism	FALSE
265	Below are items that relate to the cultures of different parts of the world. Work quickly and record your first reaction to each item. There are no right or wrong answers. Please indicate the degree to which you agree or disagree with each item using the following five-point scale:	TRUE	Lifestyles in other cultures are not as valid as those in my culture.	Lifestyles in other cultures are not as valid as those in my culture.	Lifestyles in other cultures are just as valid as those in my culture.	Lifestyles in other cultures are just as valid as those in my culture.	(1) Strongly disagree; (2) Disagree; (3) Neutral; (4) Agree; (5) Strongly agree	GENE	Generalized Ethnocentrism	TRUE	high	Generalized Ethnocentrism	FALSE
266	Below are items that relate to the cultures of different parts of the world. Work quickly and record your first reaction to each item. There are no right or wrong answers. Please indicate the degree to which you agree or disagree with each item using the following five-point scale:	TRUE	My culture should try to be more like other cultures.	My culture should try to be more like other cultures.	Other cultures should try to be more like my culture.	Other cultures should try to be more like my culture.	(1) Strongly disagree; (2) Disagree; (3) Neutral; (4) Agree; (5) Strongly agree	GENE	Generalized Ethnocentrism	TRUE	low	Generalized Ethnocentrism	FALSE
267	Below are items that relate to the cultures of different parts of the world. Work quickly and record your first reaction to each item. There are no right or wrong answers. Please indicate the degree to which you agree or disagree with each item using the following five-point scale:	TRUE	I'm very interested in the values and customs of other cultures.	I'm very interested in the values and customs of other cultures.	I'm not interested in the values and customs of other cultures.	I'm not interested in the values and customs of other cultures.	(1) Strongly disagree; (2) Disagree; (3) Neutral; (4) Agree; (5) Strongly agree	GENE	Generalized Ethnocentrism	TRUE	low	Generalized Ethnocentrism	FALSE
